CODGEO,LIBGEO,part_employes
Ambléon,100,0
Ambronay,11.1,24.9
Ambutrix,0,29
Andert-et-Condon,0,0
Anglefort,9.7,16.5
Apremont,0,26.4
Aranc,0,34.1
Arandas,50,0
Arbent,11,20.2
Arboys en Bugey,20.1,19.9
Arbigny,0,51.6
Argis,0,38
Armix,0,100
Ars-sur-Formans,7.9,35.2
Artemare,20,34.3
Asnières-sur-Saône,0,63.3
Attignat,9.9,17.2
Bâgé-Dommartin,7.3,23.5
Bâgé-le-Châtel,10.6,49.9
Balan,6,48.5
Baneins,0,38.3
Beaupont,2,45.8
Beauregard,23.1,37.3
Bellignat,15.5,15.2
Béligneux,10.8,42.5
Valserhône,12,30.3
Belley,15.4,25.7
Belleydoux,0,27
Valromey-sur-Séran,0,20.7
Bénonces,0,20.5
Bény,0,40.2
Béréziat,0,33
Bettant,0,45.1
Bey,0,0
Beynost,20.6,25.8
Billiat,0,40.2
Birieux,22.7,18.7
Biziat,0,19.5
Blyes,21,10.1
La Boisse,18.6,22.1
Boissey,0,38.3
Bolozon,33.3,33.3
Bouligneux,0,23.8
Bourg-en-Bresse,15.1,28.5
Bourg-Saint-Christophe,4.3,46.2
Boyeux-Saint-Jérôme,0,13.8
Boz,8.5,13
Brégnier-Cordon,5.6,16.5
Brénod,14.9,27.5
Brens,5.4,26.1
Bressolles,18.1,20.8
Brion,15.1,5
Briord,16.2,17.9
Buellas,4.2,18.8
La Burbanche,N/A - division par 0,N/A - division par 0
Ceignes,0,55.2
Cerdon,0,33.1
Certines,8.9,14.3
Cessy,15,43
Ceyzériat,14.7,24.8
Ceyzérieu,8.3,16.2
Chalamont,10.5,26.8
Chaleins,12.9,13.4
Chaley,50,0
Challes-la-Montagne,0,0
Challex,8.2,39.7
Champagne-en-Valromey,9.6,38.7
Champdor-Corcelles,0,21
Champfromier,24.1,11.4
Chanay,4.5,33.3
Chaneins,6,12.4
Chanoz-Châtenay,16.8,33
La Chapelle-du-Châtelard,0,28.8
Charix,0,23.3
Charnoz-sur-Ain,16.2,16.4
Château-Gaillard,10.9,17.9
Châtenay,8.3,48.4
Châtillon-la-Palud,4.9,39.1
Châtillon-sur-Chalaronne,12.4,25.4
Chavannes-sur-Reyssouze,6.9,6.4
Nivigne et Suran,5.9,22.2
Chaveyriat,2.4,24.3
Chazey-Bons,6.1,19.4
Chazey-sur-Ain,18.9,17.6
Cheignieu-la-Balme,0,0
Chevillard,50,0
Chevroux,0,26
Chevry,8.9,28.7
Chézery-Forens,5.6,33.4
Civrieux,10,13.8
Cize,17.3,0
Cleyzieu,100,0
Coligny,9.8,38.4
Collonges,14.2,27.2
Colomieu,0,52.2
Conand,100,0
Condamine,13.9,10.3
Condeissiat,3.3,10.7
Confort,9.4,33.8
Confrançon,7.6,17
Contrevoz,0,51.4
Conzieu,0,25
Corbonod,7.8,39.4
Corlier,0,0
Cormoranche-sur-Saône,14.4,15.9
Cormoz,7.7,8
Corveissiat,0,13.5
Courmangoux,0,25.7
Courtes,0,9.2
Crans,0,48.5
Bresse Vallons,6,16
Cressin-Rochefort,0,33.7
Crottet,7.3,18.8
Crozet,10.8,30.4
Cruzilles-lès-Mépillat,0,41.3
Culoz-Béon,14.5,18.6
Curciat-Dongalon,0,19.8
Curtafond,0,21.7
Cuzieu,0,51.8
Dagneux,15.3,20.3
Divonne-les-Bains,16.4,38.3
Dompierre-sur-Veyle,6.2,17
Dompierre-sur-Chalaronne,0,13.9
Domsure,0,50.1
Dortan,8,18.2
Douvres,7.6,28.3
Drom,0,3.8
Druillat,9.3,46.2
Échallon,10.5,15.7
