CODGEO,LIBGEO,part_ouvriers
100,0,0
11.1,24.9,25
0,29,18.9
0,0,0
9.7,16.5,42.8
0,26.4,19.7
0,34.1,24.5
50,0,0
11,20.2,32.4
20.1,19.9,20
0,51.6,19.2
0,38,24.7
0,100,0
7.9,35.2,14.1
20,34.3,15.6
0,63.3,7.4
9.9,17.2,40.2
7.3,23.5,35.1
10.6,49.9,14.7
6,48.5,20.5
0,38.3,13.7
2,45.8,23.3
23.1,37.3,0
15.5,15.2,37.8
10.8,42.5,15.5
12,30.3,25.3
15.4,25.7,26.9
0,27,18.6
0,20.7,17.1
0,20.5,29.2
0,40.2,7
0,33,33.6
0,45.1,9.9
0,0,0
20.6,25.8,23.8
0,40.2,35.2
22.7,18.7,16.8
0,19.5,38.4
21,10.1,31.9
18.6,22.1,27.7
0,38.3,8.6
33.3,33.3,0
0,23.8,0
15.1,28.5,18
4.3,46.2,7.5
0,13.8,14.8
8.5,13,39.7
5.6,16.5,39
14.9,27.5,11.4
5.4,26.1,16.3
18.1,20.8,28.8
15.1,5,60.4
16.2,17.9,34.9
4.2,18.8,26.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,55.2,22.3
0,33.1,29.1
8.9,14.3,43.4
15,43,15.6
14.7,24.8,25.2
8.3,16.2,15.8
10.5,26.8,23.5
12.9,13.4,28.6
50,0,0
0,0,0
8.2,39.7,14.7
9.6,38.7,26.9
0,21,25.4
24.1,11.4,34.2
4.5,33.3,0
6,12.4,33.7
16.8,33,0
0,28.8,35.9
0,23.3,42.8
16.2,16.4,29.8
10.9,17.9,31.7
8.3,48.4,18.3
4.9,39.1,12.2
12.4,25.4,26.1
6.9,6.4,33
5.9,22.2,34.4
2.4,24.3,18.4
6.1,19.4,44.5
18.9,17.6,15.1
0,0,0
50,0,50
0,26,28.9
8.9,28.7,9.5
5.6,33.4,32.7
10,13.8,33
17.3,0,15.4
100,0,0
9.8,38.4,3.8
14.2,27.2,9.6
0,52.2,0
100,0,0
13.9,10.3,30.7
3.3,10.7,41.8
9.4,33.8,26.4
7.6,17,29.9
0,51.4,14.7
0,25,0
7.8,39.4,26.4
0,0,100
14.4,15.9,31.8
7.7,8,37.6
0,13.5,42.1
0,25.7,48.6
0,9.2,54.4
0,48.5,8.9
6,16,31.5
0,33.7,0
7.3,18.8,35.6
10.8,30.4,23.3
0,41.3,16.7
14.5,18.6,39.6
0,19.8,28.8
0,21.7,26.1
0,51.8,0
15.3,20.3,27.4
16.4,38.3,10
6.2,17,29.8
0,13.9,29.7
0,50.1,20.7
8,18.2,24.9
7.6,28.3,26.3
0,3.8,48.2
9.3,46.2,12.5
10.5,15.7,42.3
11.8,35.5,16.1
0,34.6,16.7
5.3,10.1,38.5
6.6,16.4,34.9
22.7,11,11.2
7.8,18.2,44.1
15.7,38.8,14.3
0,0,50.3
2.1,16.9,29.9
11.3,33,25.5
12.3,20.9,28.2
18.3,12.8,39.9
0,16.5,33.8
4.9,19.5,52.9
0,22,50.6
15.1,35.2,15.4
5.7,16,0
13,10.8,46.8
0,0,63.1
6.4,18.3,48.2
13.1,29.4,8.4
8.2,13.3,46.9
6.9,10.8,45.3
20.7,16.1,37.8
10.2,40.8,17.6
6.8,15.5,32.7
11.8,24.2,10.1
6.6,15.4,16.2
32.3,35.3,0
0,16.1,39.6
16.2,9.6,48.8
0,0,32
11,32.2,17.5
5.9,32.9,28.1
4.4,45.5,24.6
12.4,12.4,12.4
0,33.2,33.4
10.5,26.1,26.2
0,33.3,0
13.8,25,27.9
1.8,24.7,52.7
0,16.5,21.3
50,27.6,22.4
8.2,5.4,41
0,100,0
10.4,42.9,0
10,29.5,30.7
18.1,13.1,24.1
3.8,11.7,37.5
24.1,13.7,38.1
100,0,0
0,24.9,25.4
8.5,15,50.5
0,0,0
10.5,14.1,37
0,0,19.9
0,17.8,23.7
9.2,23.6,42.6
4.1,25.7,23.7
0,19.6,46.2
11.4,8.6,46.7
8.2,22.7,34.9
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,60
8.4,14.9,29.6
6.3,19,12.3
6.3,10.1,53.3
9.7,25.8,30.5
6.5,6.9,20
14.4,20,29.7
5,24.3,19.4
20.7,0,17.8
17.5,3.6,11.7
9.2,34.9,18.2
7,28.2,29.4
6,22.5,17.6
0,23.3,34.5
8.5,24.9,15.8
17.8,19.5,26.5
23.4,23.9,10.5
16.7,33.3,8.3
13,19.7,29.6
0,56.5,21.1
5.2,18.8,29.7
7.4,30.7,24.1
0,10.9,33.7
0,11,10.9
4.9,18.9,44.2
21,25.3,20.6
12.9,23.2,27.7
0,33.9,22.8
9.7,20,38.6
10.4,41.4,19.3
14.3,7.7,45
0,0,40
16.6,30.9,23.5
4.3,37.2,13
10.9,41.8,13.1
3.1,19.7,50.9
27.5,16.2,18
13.5,25.4,23.7
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,100,0
0,0,0
11.5,37.6,19
5.8,2.9,70.4
12,21.8,33.2
2.7,32.9,29.2
26.3,21.9,17.6
17.9,26.7,27
19.1,34.2,18.1
7.8,26.1,22.5
12.3,27.5,20.7
16.4,10,28.6
0,37.6,0
8.4,35.9,25.6
16.8,32.7,16.5
20.2,21.6,0
17.1,16.8,24.3
0,0,0
0,35.1,7.9
8.6,15.8,33.4
0,0,0
14.7,19.6,32.6
12.5,22.2,37
8.8,29.8,27.6
13.3,39.6,15.4
8.8,23.5,45.3
0,26.6,35.4
0,0,0
8.2,39.1,14.3
0,0,0
27.9,25.8,12.4
15.2,17.8,21.8
0,50.8,23.6
16.6,5.8,11.3
0,7.5,22.2
6.9,32.5,32.5
8.3,8.6,0
16.5,24.3,30.7
5.2,4.7,27.4
0,23,18.3
12.6,46.1,7.7
0,0,51
0,0,100
0,0,0
3.6,18.9,53.1
17.8,23.4,17.8
12,29,0
6.9,12.9,42.7
11.1,22.5,41.5
2.1,27.1,25.1
8.4,13.7,24.3
10.3,47.1,7.5
26.3,20.9,10.6
6.6,4.3,60.1
15.2,27.2,24.2
5,37.2,14.8
7.4,7.2,30.1
8.1,29,5.5
9.3,16.3,39
0,38.6,9.6
5,30,30.8
11.5,28.6,31.4
0,17.4,16.9
5,30.8,20
17.7,30.2,16.1
17.5,8.7,14.4
19,21.1,0
21.8,16.9,22.5
0,50.2,0
0,37.5,0
9.9,28.5,22.8
9.3,21,11.5
4.9,30.1,9.6
2.1,19.3,34.4
7.2,18.1,17.8
2.6,24.2,43.1
59.4,12.8,6.6
5.4,18.2,39.1
0,21.2,29.4
6.4,26.3,44.1
6.7,37.5,16.3
6.6,52.9,6.6
13.9,29.6,22
6.8,13.5,55.4
3.8,14.5,43.8
0,14.7,26.1
22.6,15.4,25.4
4.9,29.8,20.3
15.7,37.2,9.8
0,24.6,20.9
0,28.5,29.5
8.2,0,32.2
0,37,28.4
7.6,38.6,26
5.8,15.3,47.4
21.8,19.7,20.4
0,25,0
11,34.7,29.5
16,28.7,19.1
14.7,10.7,40.9
5.7,0,55.3
0,83.1,0
16.2,25.9,15.9
6.9,21.8,42.7
27.8,30.4,18.9
1.5,11,35.8
6.9,48.6,13.3
0,0,47.7
34.4,19.3,3.7
0,6.3,13.5
13.6,25.6,9.3
0,0,0
9,17.4,38.8
0,31.2,34.4
6.6,32.1,12.2
2.6,22.8,42.6
0,25.4,0
13.6,62.3,0
16.9,12.5,18.2
3.7,42.7,0
13.8,32.6,23.8
16,25.4,33.1
7.6,41.4,13.7
15.9,36.4,12.5
4,10,58.7
6.2,19.5,38.3
4.9,28.8,17.9
13.7,20.9,14.9
29.8,9.7,0
5.1,13.2,38.2
19,21.9,25.4
0,0,0
0,15.7,27.9
13.4,21.9,35.6
12.2,13.8,42.8
0,13.8,3.6
5.5,5.5,77.9
4.7,33.4,24.2
13.3,25.9,11.2
21,56.7,0
0,0,0
0,0,20.2
7.9,18.3,39.6
13.6,26.6,29.6
8.2,36.3,21.8
0,42.1,10.4
5.8,14.3,12.1
2.3,24,29.1
14.7,22.9,21.9
5.6,4.6,22.8
10.2,25.2,21.7
10.4,28.3,29.6
3.7,16.6,38
11.7,34.9,17.9
6.1,17.7,21.5
0,39.7,19.8
9.3,20.9,30.7
18.3,7.6,58.9
10.2,19.9,21.9
14.1,25.7,35.3
0,50,0
19.8,0,20.7
0,42.9,28.8
0,0,0
0,24.7,25.4
0,38,12.6
0,43.6,0
4.4,23,28.9
0,0,0
0,26.6,36.9
0,14.2,50.6
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,28.7,43
0,0,19.3
13.1,27.6,26.8
0,13.8,42
0,21.6,22.7
0,0,0
0,26.4,24.9
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,40.4
0,17.7,29.4
10.8,16.4,49.4
0,20.8,59.8
0,24.1,34.2
0,43.8,24.8
11.9,33.8,30.5
0,50,50
0,0,0
0,12.3,12.7
0,0,0
9.8,36.3,35.3
0,0,0
0,0,33.3
0,33.2,16.9
0,65.6,0
20.6,6.8,45.4
100,0,0
0,0,0
24.6,21.6,10.1
0,25,25
N/A - division par 0,N/A - division par 0,N/A - division par 0
5.9,25.4,38.5
0,40,19.9
0,17.8,40.7
0,32.3,0
0,0,56.9
0,38.5,17.1
33.2,0,33.9
0,0,0
11,31.2,37.4
2.5,42.6,24.7
3.7,29.9,41.8
7.4,7.4,57
0,65.9,0
33.7,34.3,32
0,40.3,19.7
11.1,34.4,13.8
7.4,27.6,18.8
0,9.4,33.6
0,25,25
0,25.9,25.3
0,0,0
0,33.5,33.3
2.5,30,48.6
0,0,35.3
11,26.6,26.4
0,12.7,13
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,55.5,44.5
0,0,100
0,25,49.9
0,66.6,33.4
0,17.1,0
0,0,25
5.7,16.6,17.1
0,17.4,16
3.5,20.2,42.1
0,39.1,25.2
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,100,0
4.2,10.9,50.6
0,0,27.1
0,0,33.4
9.2,29.2,21.4
0,15.8,45.8
10,35.9,29.8
0,0,57.1
0,9.5,54.9
20.3,26.2,20.2
0,0,0
0,19.2,26.6
0,50,0
9.8,19.2,36.1
9.2,7.6,56.3
0,0,66.6
0,20.1,30.5
2.1,60.7,18.6
0,50,0
0,0,0
0,13.7,58.8
11.7,34.5,24.5
0,44.7,31.7
1.6,29.9,19
3.9,40.8,30.6
23.7,0,60.4
0,24.1,0
33.6,0,66.4
N/A - division par 0,N/A - division par 0,N/A - division par 0
10.4,10.1,39.1
0,20.5,29.2
11.7,23.4,64.9
0,50,25.1
0,29.8,19.4
16.7,16.7,0
0,66.6,16.8
15.1,29.6,9.9
27.5,53.4,0
4.9,26.5,29.6
0,0,24.9
0,50.2,0
8.5,13.2,52.7
0,50,0
0,24.9,12.5
2.5,49.5,30.6
2.5,23.2,57.3
0,46.8,6.4
0,0,100
19.3,11.9,18.4
8.6,8.9,51.6
0,7.4,62
10.4,35,22.9
0,0,45.1
4,67.9,16
0,0,100
0,31.6,68.4
0,66.7,0
0,100,0
0,0,67.1
0,100,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,12.4,50.5
12.8,11.9,25.7
7.7,15.9,52
0,48.4,0
0,0,0
7.7,38.6,26.3
4.6,43.2,29.9
0,0,40
8.1,25.1,50.2
0,66.5,0
7.7,30.5,34.8
0,0,0
12.2,18.6,38.9
50.2,0,0
0,26.9,17.2
11.1,31.7,26.7
0,0,0
0,0,0
0,0,100
0,12,52.1
11.8,35.6,20.2
6.5,23.8,45.1
0,33.3,0
100,0,0
50,0,0
0,24,27.9
0,20.7,38.2
0,15.6,22.8
0,0,0
0,0,50
0,40,20
0,73.1,6.6
0,0,0
10.5,25.4,21.7
11.8,10.8,47.6
0,0,0
0,0,25.7
0,25,13.1
13.1,9.9,50.7
0,0,79.7
33.3,0,0
0,20.4,38.8
9.1,10.8,53.4
15.3,25.2,31.4
0,25.2,29.9
0,0,100
0,34.7,36.7
0,47.5,21.2
8.1,38,15.1
2.8,41.9,24.4
0,0,25.1
0,66.7,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,100,0
0,31,69
6.5,27.3,23.8
0,0,100
6.8,28.3,21.1
2.1,27.1,52.5
0,22.2,31.5
0,0,50.9
9.9,29.1,29.3
0,51.4,13.7
6.3,43.6,28.8
6.2,51.2,29.8
14.3,26.3,9.3
0,29.1,17.5
0,50,50
0,0,100
0,16.6,16.3
13.6,48.3,22.8
0,0,0
12.9,20.9,41.9
0,50,0
5.3,37.1,16.6
0,50,0
0,0,40.9
0,19.8,48.6
4.2,39.8,25.6
10,9.9,69.9
0,15.8,15.8
0,0,100
0,31.3,35.8
9.8,36.8,21.2
5.5,41.1,15.6
14.2,15.1,32.9
0,19.8,20
0,49.3,50.7
5.8,18.5,19.5
4.6,29.9,38.1
0,0,100
16.1,19.5,26.9
0,33.9,11.2
0,0,33.3
0,100,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
N/A - division par 0,N/A - division par 0,N/A - division par 0
N/A - division par 0,N/A - division par 0,N/A - division par 0
0,0,60.1
0,100,0
0,48.2,0
0,0,0
30.9,30.9,38.3
7.9,27,58.9
0,22.9,44.2
0,0,0
0,23.2,29.7
0,0,33.7
0,0,42.1
0,10,32.2
0,0,0
0,0,50
23.2,0,5.8
0,20.1,40.1
0,24.6,26.1
0,20.5,41.6
0,0,20
0,74.5,0
0,0,17.6
0,25,61.6
0,9.3,66.6
0,25,25
0,44.7,40.4
0,0,0
9.6,11.6,62.5
0,20.2,40.2
0,0,41.4
0,20.1,72.2
0,0,33.5
0,0,0
0,34.6,27.1
3.8,25.9,37.5
0,19.2,52.1
0,0,0
2.6,19.3,37
0,11.8,56.7
15.1,32.2,17.5
4.9,63.4,17.1
5.4,8.1,72.6
2.8,24.3,41.9
2.6,44.8,20.5
0,36.2,36.2
2.9,40.2,25.6
8.5,8.4,47.5
0,23.2,46
6,58,13.1
9.6,44,19.6
9.7,31.8,26
0,38.1,0
9.3,28.8,31
0,24.7,8.5
0,48.4,31
0,16.3,32.5
0,53,47
4,25.4,35.4
0,25.3,51.9
13.3,41.9,7.9
0,0,82.7
0,50,0
9.8,16,45.3
0,22.1,33.5
0,24.7,37.9
16.6,19.8,33.1
0,20.2,29.2
0,0,33.1
0,26.1,24.6
0,0,33.8
0,15,71.8
14.7,28.5,16.1
12.4,34.5,23
0,37.2,12.3
0,100,0
8.2,32.6,16.5
0,0,0
13,17.5,51.4
0,49.1,50.9
0,37.3,43.7
0,0,0
0,0,19.8
18.8,37.3,12
9,23,42.9
0,34.6,38.9
0,0,0
0,33,0
0,0,50
5.6,20.7,58.9
0,16.7,40.4
50,50,0
0,0,0
N/A - division par 0,N/A - division par 0,N/A - division par 0
11.8,30.1,23.6
0,8.1,34.4
0,0,75.3
8.6,25.7,37.5
16.2,13.7,38.5
0,0,54.6
