Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021;Part des ouvriers dans le nb d’emplois au LT 2021;Part des artisans, commerçants, chefs d’ent. dans le nb d’emplois au LT 2021
1001;L'Abergement-Clémenciat;0;21.5;14.2;35.6
1002;L'Abergement-de-Varey;19.1;0;20.6;0
1004;Ambérieu-en-Bugey;12.3;30.4;23.3;6.1
1005;Ambérieux-en-Dombes;11.8;22.3;8.9;25.7
1006;Ambléon;100;0;0;0
1007;Ambronay;11.1;24.9;25;8.7
1008;Ambutrix;0;29;18.9;14.5
1009;Andert-et-Condon;0;0;0;0
1010;Anglefort;9.7;16.5;42.8;9
1011;Apremont;0;26.4;19.7;18.7
1012;Aranc;0;34.1;24.5;10.9
1013;Arandas;50;0;0;0
1014;Arbent;11;20.2;32.4;7
1015;Arboys en Bugey;20.1;19.9;20;10.1
1016;Arbigny;0;51.6;19.2;9.8
1017;Argis;0;38;24.7;12.3
1019;Armix;0;100;0;0
1021;Ars-sur-Formans;7.9;35.2;14.1;23.8
1022;Artemare;20;34.3;15.6;14.4
1023;Asnières-sur-Saône;0;63.3;7.4;0
1024;Attignat;9.9;17.2;40.2;7.4
1025;Bâgé-Dommartin;7.3;23.5;35.1;10.5
1026;Bâgé-le-Châtel;10.6;49.9;14.7;8.9
1027;Balan;6;48.5;20.5;3.7
1028;Baneins;0;38.3;13.7;21
1029;Beaupont;2;45.8;23.3;11.1
1030;Beauregard;23.1;37.3;0;31.1
1031;Bellignat;15.5;15.2;37.8;5.3
1032;Béligneux;10.8;42.5;15.5;5.3
1033;Valserhône;12;30.3;25.3;7.8
1034;Belley;15.4;25.7;26.9;6.1
1035;Belleydoux;0;27;18.6;18.2
1036;Valromey-sur-Séran;0;20.7;17.1;16.4
1037;Bénonces;0;20.5;29.2;10.4
1038;Bény;0;40.2;7;19.7
1040;Béréziat;0;33;33.6;33.4
1041;Bettant;0;45.1;9.9;10.1
1042;Bey;0;0;0;30.4
1043;Beynost;20.6;25.8;23.8;5.2
1044;Billiat;0;40.2;35.2;0
1045;Birieux;22.7;18.7;16.8;0
1046;Biziat;0;19.5;38.4;19.1
1047;Blyes;21;10.1;31.9;9.1
1049;La Boisse;18.6;22.1;27.7;7.3
1050;Boissey;0;38.3;8.6;35.9
1051;Bolozon;33.3;33.3;0;33.3
1052;Bouligneux;0;23.8;0;46.4
1053;Bourg-en-Bresse;15.1;28.5;18;4.4
1054;Bourg-Saint-Christophe;4.3;46.2;7.5;21
1056;Boyeux-Saint-Jérôme;0;13.8;14.8;0
1057;Boz;8.5;13;39.7;26.8
1058;Brégnier-Cordon;5.6;16.5;39;11.2
1060;Brénod;14.9;27.5;11.4;7.9
1061;Brens;5.4;26.1;16.3;16
1062;Bressolles;18.1;20.8;28.8;14.3
1063;Brion;15.1;5;60.4;7.6
1064;Briord;16.2;17.9;34.9;8.6
