Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021
01001;L'Abergement-Clémenciat;0
01002;L'Abergement-de-Varey;19.1
01004;Ambérieu-en-Bugey;12.3
01005;Ambérieux-en-Dombes;11.8
01006;Ambléon;100
01007;Ambronay;11.1
01008;Ambutrix;0
01009;Andert-et-Condon;0
01010;Anglefort;9.7
01011;Apremont;0
01012;Aranc;0
01013;Arandas;50
01014;Arbent;11
01015;Arboys en Bugey;20.1
01016;Arbigny;0
01017;Argis;0
01019;Armix;0
01021;Ars-sur-Formans;7.9
01022;Artemare;20
01023;Asnières-sur-Saône;0
01024;Attignat;9.9
01025;Bâgé-Dommartin;7.3
01026;Bâgé-le-Châtel;10.6
01027;Balan;6
01028;Baneins;0
01029;Beaupont;2
01030;Beauregard;23.1
01031;Bellignat;15.5
01032;Béligneux;10.8
01033;Valserhône;12
01034;Belley;15.4
01035;Belleydoux;0
01036;Valromey-sur-Séran;0
01037;Bénonces;0
01038;Bény;0
01040;Béréziat;0
01041;Bettant;0
01042;Bey;0
01043;Beynost;20.6
01044;Billiat;0
01045;Birieux;22.7
01046;Biziat;0
01047;Blyes;21
01049;La Boisse;18.6
01050;Boissey;0
01051;Bolozon;33.3
01052;Bouligneux;0
01053;Bourg-en-Bresse;15.1
01054;Bourg-Saint-Christophe;4.3
01056;Boyeux-Saint-Jérôme;0
01057;Boz;8.5
01058;Brégnier-Cordon;5.6
01060;Brénod;14.9
01061;Brens;5.4
01062;Bressolles;18.1
01063;Brion;15.1
01064;Briord;16.2
01065;Buellas;4.2
01066;La Burbanche;N/A - division par 0
01067;Ceignes;0
01068;Cerdon;0
01069;Certines;8.9
01071;Cessy;15
01072;Ceyzériat;14.7
01073;Ceyzérieu;8.3
01074;Chalamont;10.5
01075;Chaleins;12.9
01076;Chaley;50
01077;Challes-la-Montagne;0
01078;Challex;8.2
01079;Champagne-en-Valromey;9.6
01080;Champdor-Corcelles;0
01081;Champfromier;24.1
01082;Chanay;4.5
01083;Chaneins;6
01084;Chanoz-Châtenay;16.8
01085;La Chapelle-du-Châtelard;0
01087;Charix;0
01088;Charnoz-sur-Ain;16.2
01089;Château-Gaillard;10.9
01090;Châtenay;8.3
01092;Châtillon-la-Palud;4.9
01093;Châtillon-sur-Chalaronne;12.4
01094;Chavannes-sur-Reyssouze;6.9
01095;Nivigne et Suran;5.9
01096;Chaveyriat;2.4
01098;Chazey-Bons;6.1
01099;Chazey-sur-Ain;18.9
01100;Cheignieu-la-Balme;0
01101;Chevillard;50
01102;Chevroux;0
01103;Chevry;8.9
01104;Chézery-Forens;5.6
01105;Civrieux;10
01106;Cize;17.3
01107;Cleyzieu;100
01108;Coligny;9.8
01109;Collonges;14.2
01110;Colomieu;0
01111;Conand;100
01112;Condamine;13.9
01113;Condeissiat;3.3
01114;Confort;9.4
01115;Confrançon;7.6
01116;Contrevoz;0
01117;Conzieu;0
01118;Corbonod;7.8
01121;Corlier;0
01123;Cormoranche-sur-Saône;14.4
01124;Cormoz;7.7
01125;Corveissiat;0
01127;Courmangoux;0
01128;Courtes;0
01129;Crans;0
01130;Bresse Vallons;6
01133;Cressin-Rochefort;0
01134;Crottet;7.3
01135;Crozet;10.8
01136;Cruzilles-lès-Mépillat;0
01138;Culoz-Béon;14.5
01139;Curciat-Dongalon;0
01140;Curtafond;0
01141;Cuzieu;0
01142;Dagneux;15.3
01143;Divonne-les-Bains;16.4
01145;Dompierre-sur-Veyle;6.2
01146;Dompierre-sur-Chalaronne;0
01147;Domsure;0
01148;Dortan;8
01149;Douvres;7.6
01150;Drom;0
01151;Druillat;9.3
01152;Échallon;10.5
01153;Échenevex;11.8
01155;Évosges;0
01156;Faramans;5.3
01157;Fareins;6.6
01158;Farges;22.7
01159;Feillens;7.8
01160;Ferney-Voltaire;15.7
01162;Flaxieu;0
01163;Foissiat;2.1
01165;Francheleins;11.3
01166;Frans;12.3
01167;Garnerans;18.3
01169;Genouilleux;0
01170;Béard-Géovreissiat;4.9
01171;Géovreisset;0
01173;Gex;15.1
01174;Giron;5.7
01175;Gorrevod;13
01177;Grand-Corent;0
01179;Grièges;6.4
01180;Grilly;13.1
01181;Groissiat;8.2
01183;Guéreins;6.9
01184;Hautecourt-Romanèche;20.7
01185;Plateau d'Hauteville;10.2
01187;Haut Valromey;6.8
01188;Illiat;11.8
01189;Injoux-Génissiat;6.6
01190;Innimond;32.3
01191;Izenave;0
01192;Izernore;16.2
01193;Izieu;0
01194;Jassans-Riottier;11
01195;Jasseron;5.9
01196;Jayat;4.4
01197;Journans;12.4
01198;Joyeux;0
01199;Jujurieux;10.5
01200;Labalme;0
01202;Lagnieu;13.8
01203;Laiz;1.8
