Code;Libellé;Part des cadres et prof. intellectuelles sup. dans le nb d’emplois au LT 2021;Part des employés dans le nb d’emplois au LT 2021
01001;L'Abergement-Clémenciat;0;21.5
01002;L'Abergement-de-Varey;19.1;0
01004;Ambérieu-en-Bugey;12.3;30.4
01005;Ambérieux-en-Dombes;11.8;22.3
01006;Ambléon;100;0
01007;Ambronay;11.1;24.9
01008;Ambutrix;0;29
01009;Andert-et-Condon;0;0
01010;Anglefort;9.7;16.5
01011;Apremont;0;26.4
01012;Aranc;0;34.1
01013;Arandas;50;0
01014;Arbent;11;20.2
01015;Arboys en Bugey;20.1;19.9
01016;Arbigny;0;51.6
01017;Argis;0;38
01019;Armix;0;100
01021;Ars-sur-Formans;7.9;35.2
01022;Artemare;20;34.3
01023;Asnières-sur-Saône;0;63.3
01024;Attignat;9.9;17.2
01025;Bâgé-Dommartin;7.3;23.5
01026;Bâgé-le-Châtel;10.6;49.9
01027;Balan;6;48.5
01028;Baneins;0;38.3
01029;Beaupont;2;45.8
01030;Beauregard;23.1;37.3
01031;Bellignat;15.5;15.2
01032;Béligneux;10.8;42.5
01033;Valserhône;12;30.3
01034;Belley;15.4;25.7
01035;Belleydoux;0;27
01036;Valromey-sur-Séran;0;20.7
01037;Bénonces;0;20.5
01038;Bény;0;40.2
01040;Béréziat;0;33
01041;Bettant;0;45.1
01042;Bey;0;0
01043;Beynost;20.6;25.8
01044;Billiat;0;40.2
01045;Birieux;22.7;18.7
01046;Biziat;0;19.5
01047;Blyes;21;10.1
01049;La Boisse;18.6;22.1
01050;Boissey;0;38.3
01051;Bolozon;33.3;33.3
01052;Bouligneux;0;23.8
01053;Bourg-en-Bresse;15.1;28.5
01054;Bourg-Saint-Christophe;4.3;46.2
01056;Boyeux-Saint-Jérôme;0;13.8
01057;Boz;8.5;13
01058;Brégnier-Cordon;5.6;16.5
01060;Brénod;14.9;27.5
01061;Brens;5.4;26.1
01062;Bressolles;18.1;20.8
01063;Brion;15.1;5
01064;Briord;16.2;17.9
01065;Buellas;4.2;18.8
01066;La Burbanche;N/A - division par 0;N/A - division par 0
01067;Ceignes;0;55.2
01068;Cerdon;0;33.1
01069;Certines;8.9;14.3
01071;Cessy;15;43
01072;Ceyzériat;14.7;24.8
01073;Ceyzérieu;8.3;16.2
01074;Chalamont;10.5;26.8
01075;Chaleins;12.9;13.4
01076;Chaley;50;0
01077;Challes-la-Montagne;0;0
01078;Challex;8.2;39.7
01079;Champagne-en-Valromey;9.6;38.7
01080;Champdor-Corcelles;0;21
01081;Champfromier;24.1;11.4
01082;Chanay;4.5;33.3
01083;Chaneins;6;12.4
01084;Chanoz-Châtenay;16.8;33
01085;La Chapelle-du-Châtelard;0;28.8
01087;Charix;0;23.3
01088;Charnoz-sur-Ain;16.2;16.4
01089;Château-Gaillard;10.9;17.9
01090;Châtenay;8.3;48.4
01092;Châtillon-la-Palud;4.9;39.1
01093;Châtillon-sur-Chalaronne;12.4;25.4
01094;Chavannes-sur-Reyssouze;6.9;6.4
01095;Nivigne et Suran;5.9;22.2
01096;Chaveyriat;2.4;24.3
01098;Chazey-Bons;6.1;19.4
01099;Chazey-sur-Ain;18.9;17.6
01100;Cheignieu-la-Balme;0;0
01101;Chevillard;50;0
01102;Chevroux;0;26
01103;Chevry;8.9;28.7
01104;Chézery-Forens;5.6;33.4
01105;Civrieux;10;13.8
01106;Cize;17.3;0
01107;Cleyzieu;100;0
01108;Coligny;9.8;38.4
01109;Collonges;14.2;27.2
01110;Colomieu;0;52.2
01111;Conand;100;0
01112;Condamine;13.9;10.3
01113;Condeissiat;3.3;10.7
01114;Confort;9.4;33.8
01115;Confrançon;7.6;17
01116;Contrevoz;0;51.4
01117;Conzieu;0;25
01118;Corbonod;7.8;39.4
01121;Corlier;0;0
01123;Cormoranche-sur-Saône;14.4;15.9
01124;Cormoz;7.7;8
01125;Corveissiat;0;13.5
01127;Courmangoux;0;25.7
01128;Courtes;0;9.2
01129;Crans;0;48.5
01130;Bresse Vallons;6;16
01133;Cressin-Rochefort;0;33.7
01134;Crottet;7.3;18.8
01135;Crozet;10.8;30.4
01136;Cruzilles-lès-Mépillat;0;41.3
01138;Culoz-Béon;14.5;18.6
01139;Curciat-Dongalon;0;19.8
01140;Curtafond;0;21.7
01141;Cuzieu;0;51.8
01142;Dagneux;15.3;20.3
01143;Divonne-les-Bains;16.4;38.3
01145;Dompierre-sur-Veyle;6.2;17
01146;Dompierre-sur-Chalaronne;0;13.9
01147;Domsure;0;50.1
01148;Dortan;8;18.2
01149;Douvres;7.6;28.3
01150;Drom;0;3.8
01151;Druillat;9.3;46.2
01152;Échallon;10.5;15.7
01153;Échenevex;11.8;35.5
01155;Évosges;0;34.6
01156;Faramans;5.3;10.1
01157;Fareins;6.6;16.4
01158;Farges;22.7;11
01159;Feillens;7.8;18.2
01160;Ferney-Voltaire;15.7;38.8
01162;Flaxieu;0;0
01163;Foissiat;2.1;16.9
01165;Francheleins;11.3;33
01166;Frans;12.3;20.9
01167;Garnerans;18.3;12.8
01169;Genouilleux;0;16.5
01170;Béard-Géovreissiat;4.9;19.5
01171;Géovreisset;0;22
01173;Gex;15.1;35.2
01174;Giron;5.7;16
01175;Gorrevod;13;10.8
01177;Grand-Corent;0;0
01179;Grièges;6.4;18.3
01180;Grilly;13.1;29.4
01181;Groissiat;8.2;13.3
01183;Guéreins;6.9;10.8
01184;Hautecourt-Romanèche;20.7;16.1
01185;Plateau d'Hauteville;10.2;40.8
01187;Haut Valromey;6.8;15.5
01188;Illiat;11.8;24.2
01189;Injoux-Génissiat;6.6;15.4
01190;Innimond;32.3;35.3
01191;Izenave;0;16.1
01192;Izernore;16.2;9.6
01193;Izieu;0;0
01194;Jassans-Riottier;11;32.2
01195;Jasseron;5.9;32.9
01196;Jayat;4.4;45.5
01197;Journans;12.4;12.4
01198;Joyeux;0;33.2
01199;Jujurieux;10.5;26.1
01200;Labalme;0;33.3
01202;Lagnieu;13.8;25
01203;Laiz;1.8;24.7
01204;Le Poizat-Lalleyriat;0;16.5
01206;Lantenay;50;27.6
01207;Lapeyrouse;8.2;5.4
01208;Lavours;0;100
01209;Léaz;10.4;42.9
01210;Lélex;10;29.5
01211;Lent;18.1;13.1
01212;Lescheroux;3.8;11.7
01213;Leyment;24.1;13.7
01214;Leyssard;100;0
01215;Surjoux-Lhopital;0;24.9
01216;Lhuis;8.5;15
01219;Lompnas;0;0
01224;Loyettes;10.5;14.1
01225;Lurcy;0;0
01227;Magnieu;0;17.8
01228;Maillat;9.2;23.6
01229;Malafretaz;4.1;25.7
01230;Mantenay-Montlin;0;19.6
01231;Manziat;11.4;8.6
01232;Marboz;8.2;22.7
01233;Marchamp;N/A - division par 0;N/A - division par 0
01234;Marignieu;0;0
01235;Marlieux;8.4;14.9
01236;Marsonnas;6.3;19
01237;Martignat;6.3;10.1
01238;Massieux;9.7;25.8
01239;Massignieu-de-Rives;6.5;6.9
01240;Matafelon-Granges;14.4;20
01241;Meillonnas;5;24.3
01242;Mérignat;20.7;0
01243;Messimy-sur-Saône;17.5;3.6
01244;Meximieux;9.2;34.9
01245;Bohas-Meyriat-Rignat;7;28.2
01246;Mézériat;6;22.5
01247;Mijoux;0;23.3
01248;Mionnay;8.5;24.9
01249;Miribel;17.8;19.5
01250;Misérieux;23.4;23.9
01252;Mogneneins;16.7;33.3
