GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
2A038;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;69.0455
2B110;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;55.403
2B077;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;710.672
2B078;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;53
2A266;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;146.461
2B111;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;71.6539
2A300;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;979.204
2B112;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;246.785
2B079;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;308.035
2B093;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1160.26
2A268;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;118.333
2B340;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;103.764
2B327;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;284.811
2B113;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;94.6063
2A282;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;240.514
2A269;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1662.45
2B341;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;662.449
2B328;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;143.74
2B342;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1484.8
2A056;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;112.169
2B095;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;216.449
2B329;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;94.2479
2B096;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;5210.99
2A070;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;839.384
2B343;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1442.86
2B116;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;48.8571
2A284;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;459.549
2A071;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;229.05
2A285;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;130.829
2B097;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;85.4118
2B344;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;72.6191
2B346;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1674.58
2B347;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;366.831
2A288;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1237.36
2A308;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;593.164
2B361;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;276.865
2B134;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;3419.05
2A322;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;146.471
2B135;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;386.827
2A323;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;220.63
2A324;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;376.819
2A090;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;913.456
2B136;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;238.217
2B364;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;58
2B137;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;28.5652
2B150;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;2797.52
2A091;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;194.314
2A092;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1650.05
2A326;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;220.316
2B138;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;179.671
2B365;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;188.004
2B152;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;854.292
2B366;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;143.958
2A094;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;100.66
2A114;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1294.31
2B153;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;158.602
2A115;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;128.57
2B155;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;68.8149
2A117;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;73.65327
2B156;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;37.4615
2A130;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;4322.21
2A345;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;366.394
2B157;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;50.12514
2A131;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;217.903
2A118;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;207.122
2A098;COM;_T;_T;3T6;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;1222.36
2B170;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;254.497
2A132;COM;_T;_T;1;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;113.681
2A099;COM;_T;_T;2;_T;_T;DWELLINGS;_T;_T;_T;_T;2021;320.975
