GEO,nb_logements_sociaux
001,1903324.40885
00151,93.28159
00152,139.26423
00153,43.53244
00154,202.49189
00155,58.91216
00156,181.2377
00157,116.68837
00158,334.05857
00159,143.01214
00160,119.06738
00161,241.28018
00162,359.99495
00163,143.39142
00164,126.82732
00165,178.08994
00166,95.10943
00167,178.76323
002,221250.94071
00251,102.03952
00252,248.05641
00253,169.40248
00254,443.79728
00255,391.90222
00256,329.68466
00257,387.62258
00258,394.67791
00259,551.4832
00260,464.73248
00261,526.42036
00262,682.64937
00263,570.50137
00264,377.10471
00265,468.19855
00266,501.55957
00267,778.87989
00268,322.64867
00269,367.63671
00270,818.39725
003,189447.12077
00351,622.5567
00352,585.34059
00353,597.16206
00354,678.97885
00355,423.54099
00356,576.25107
00357,1248.51437
00358,564.55971
00359,1704.62406
00360,979.80731
00361,1349.86718
00362,505.74571
004,146675.78209
00451,904.64864
00452,1478.59559
00453,687.59756
00454,1244.54224
00455,1668.28733
00456,1349.93184
00457,1394.95446
00458,1802.7003
00459,1458.79267
00460,3236.78925
00461,2169.90593
00462,1971.05517
00463,2540.34361
00464,4234.17281
00465,2131.15519
005,118997.35165
0051,7675.82192
0052,8225.95388
0053,17952.70499
0054,14807.97353
0055,2990.65283
00551,2408.87285
00552,4272.53603
00553,4219.55256
00554,4321.18274
00555,4124.69138
00556,5253.5209
00557,5577.1541
00558,7933.78694
00559,5685.38308
0056,4002.12827
0057,5907.82052
0058,4934.92379
0059,7814.11129
006,108556.08316
0060,11475.40506
0061,3429.98357
0062,3417.00764
0063,4369.91148
0064,2947.2681
00651,7719.64348
00652,10801.95792
00653,11156.93724
00751,16873.43613
00752,23014.43387
00753,40972.51291
00754,28139.26043
00755,57130.23576
00756,42622.97877
00757,50463.49046
00758,108426.77973
00759,179900.27427
00760,201797.22711
008,75399.47379
00851,1803985.92382
01,75680.89018
010,81917.68899
01001,9.54529
01002,5.54591
01004,3047.74678
01005,27.83957
01006,1.98246
01007,61.16741
01008,6.31068
01009,6.52729
0101,2709.2
01010,16.87573
01011,2.63028
01012,7.09877
01013,1.02174
01014,90.75541
01015,22.18972
01016,10.26822
01017,11.63485
0102,6498.29008
01021,25.75036
01022,63.86438
01023,1.01316
01024,58.55106
01025,52.07491
01026,35.90772
01027,13.80003
01028,5.03839
01029,6.0024
0103,1976.43288
01030,27.05977
01031,291.65517
01032,50.30134
01033,2195.72641
01034,1795.28518
01035,6.04379
01036,16.42162
01037,1.94374
01038,4.8904
0104,28560.25375
01040,6.16267
01041,24.64129
01042,0.92126
01043,120.36454
01044,18.02742
01045,3.09269
01046,9.68031
01047,15.34468
01049,63.79968
0105,10999.62026
01050,6.96843
01051,3.68932
01052,7.24751
01053,10331.65113
01054,21.13797
01056,3.76994
01057,8.19333
01058,15.42462
01060,28.35344
01061,10.55716
01062,6.60136
01063,9.49302
01064,16.32423
01065,26.98383
01066,2.13483
01067,1.94082
01068,20.22118
01069,22.66034
01071,72.5151
01072,440.47902999999997
01073,22.22785
01074,92.42022
01075,17.94347
01076,4.8062
01077,6.12973
01078,16.36432
01079,31.69995
01080,14.13577
01081,36.69256
01082,6.46743
01083,10.483
01084,8.02247
01085,0.93796
01087,5.64992
01088,4.72942
01089,36.90673
01090,6.20028
01092,19.76516
01093,734.98459
01094,28.76934
01095,16.81203
01096,13.54101
01098,18.3985
01099,42.0061
011,4752.18157
01100,6.0
01101,54.6839
01102,28.386319999999998
01103,37.58491
