C21_ACTOCC1564_CS2;C21_ACTOCC1564_CS3;C21_ACTOCC1564_CS5;C21_ACTOCC1564_CS6;AAV2020
12940.2;40178.6;58402.4;40785.2;GEN
15.1249;20.126;9.5294;54.2939;CHA
160105;143473;450325;477257;0
2274.99;4210.04;11402.5;5386.47;MON
2474.42;8912.65;13120.8;13820.7;BAL
336.468;1093.03;1771.33;1118.85;LAU
5767.77;17952.2;42516.3;31555.5;LUX
604.551;1385.94;3949.16;4314.57;SAR
94760.6;682204;329915;138877;
SUM_CS2;SUM_CS3;SUM_CS5;SUM_CS6;AAV2020
258320;1.3148e+06;1.2559e+06;698180;1
53539;161953;185402;133519;2
33197.3;90655.4;109520;62788;3
31080.3;146923;162200;109382;4
41862.5;187168;156040;91258;5
46405.8;139532;158340;97791.2;6
27012.3;117336;109566;76938.1;8
1000.36;921.708;5370.8;3419.44;9D5
10618.4;14849.6;42572.2;21461.4;9B1
1096.87;1722.17;5285.33;2273.14;9A2
11814.9;12768.4;33878.1;17027.4;9A1
120.602;55.8032;535.348;494.473;9D7
136.314;84.2867;665.063;601.102;9B2
202.672;215.49;747.878;370.428;9A3
3860.99;6703.99;15397.7;8232.29;9C1
417.983;974.997;2665.1;2773.75;9C2
456.212;1273.95;2844.61;1625.29;9C3
4568.94;8700.42;17737.8;10472.6;9D4
462.739;322.644;3342.25;2401.22;9D3
6011.78;6928.87;23409;12511.8;9D2
7198.76;15250.4;34697.8;16632;9D1
93.08;68.6377;654.84;669.681;9B3
993.727;818.055;5017.19;2979.82;9D6
20499;79703.8;93681.2;73616.6;10
28247.4;75624.7;84282.5;44527.1;12
18350.7;81777.5;84178.9;61481.5;13
18859.5;80691.5;74507;47619;14
14745.8;50626.1;77191.5;60088.8;15
23446.9;48120;74533.8;37349.9;17
19775.9;32483.2;69484.7;34181.1;18
12926.3;39944.4;58569.6;40449.7;19
11107.6;38962.8;58074.1;35482.7;20
12987.8;42891.2;54997.3;39326.5;22
13211.4;28464.4;51800.3;43931.4;23
12182.5;33360.6;53602.3;39443.1;24
10638.5;36932.5;50182.4;41109.7;25
11482.7;34172.1;49543.1;38169.9;26
10432.2;33248.4;46492.9;33859.4;28
9059.03;22976.5;43749.4;41858.5;29
14100.2;17006.4;44147.7;27095.3;30
17856.8;32107.2;43845.7;22803.3;31
8264.31;29929.6;42609.1;28532.5;32
8570.09;29816.1;44351.8;30098.1;33
7832.31;21979.8;42119.8;33677.4;34
6717.71;23387;39065.9;29918.4;35
8600.11;26247;39134.3;29019.7;36
11267.4;18779.6;39388.6;23468;37
5684.32;15635.2;33885.6;32067.5;38
5924.06;16962.1;36357.3;30742.9;39
11961.4;20399.6;35516.7;26339.2;40
8128.66;19543;35301.1;25099.3;41
5123.49;10212.9;35720.5;33393.7;42
10771.1;28584;33323.2;25744.5;43
8315.75;20712;31239.4;20408.9;44
6909.63;21668.6;31187.1;22676.1;45
6517.18;21003.9;35211.7;19512.8;46
11586.6;18983.2;33880;20742.7;47
4583.17;11085.9;28406.9;25279.3;48
7628.63;17638.9;27843;22022.3;49
7937.79;21416.6;28357.6;20431.8;50
8690.45;16734.1;27088.4;17464;51
7270.07;13444;24844.6;21385.3;52
