GEO;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
01450;62.93977;1664.0;3.78
01232;63.36084;1098.86;5.77
31082;9.77458;504.523;1.94
77143;412.98778;1977.47;20.88
51513;14.72598;257.34;5.72
69020;27.4981;284.891;9.65
48198;11.37181;671.177;1.69
69121;156.15861;1416.45;11.02
78117;353.87168;2730.1;12.96
47179;90.46839;1222.32;7.4
77533;14.87798;1124.88;1.32
57474;277.13612;2953.8;9.38
01358;3.04498;256.254;1.19
87111;41.40242;1159.56;3.57
68156;101.43964;1565.57;6.48
67309;144.91701;2459.25;5.89
56088;19.11836;572.833;3.34
55178;4.92228;93.1311;5.29
06024;1.09524;286.889;0.38
62907;1266.16982;3717.0;34.06
01074;170.61112;1188.32;14.36
64405;213.76337;2061.6;10.37
56061;84.57624;2235.39;3.78
85177;81.58948;739.96;11.03
01134;40.6213;795.414;5.11
01396;74.55317;555.526;13.42
56258;48.96533;2803.48;1.75
74218;700.78099;4287.34;16.35
57712;24.83041;641.954;3.87
23249;1.98233;229.791;0.86
53243;3.9194;783.442;0.5
52297;6.96729;139.043;5.01
81147;16.50448;550.686;3.0
56023;84.16277;3155.5;2.67
33344;18.1371;322.747;5.62
51613;18.64864;481.107;3.88
31205;69.43282;1556.83;4.46
60398;34.55131;1026.04;3.37
64256;120.73361;3838.53;3.15
02065;4.03477;270.589;1.49
87140;11.97368;822.5;1.46
48009;41.49915;1960.43;2.12
69228;102.63007;1911.5;5.37
16249;4.24803;234.619;1.81
50197;122.2374;1357.93;9.0
56030;7.72311;884.078;0.87
50506;14.92483;248.741;6.0
38291;38.46191;486.123;7.91
01398;39.73058;597.54;6.65
60119;150.29859;866.626;17.34
14011;1.99125;837.96;0.24
52446;2.00293;117.946;1.7
57428;167.15299;1279.48;13.06
78327;137.28413;2019.6;6.8
71106;332.19093;1805.73;18.4
76377;84.04831;1534.59;5.48
50082;366.69811;3062.98;11.97
15156;7.06622;328.575;2.15
95257;108.53114;2133.69;5.09
57100;32.0;99.6667;32.11
69200;30.61351;741.856;4.13
69194;156.69502;3111.24;5.04
14402;1.05263;54.59649;1.93
17325;10.30563;401.145;2.57
74044;23.34339;606.666;3.85
60029;239.9566;1326.73;18.09
52306;56.00129;229.006;24.45
01246;113.25135;1038.09;10.91
50099;1097.03797;5575.32;19.68
38349;69.49717;1081.16;6.43
01393;2.96226;257.455;1.15
53054;267.04559;2805.05;9.52
52524;9.95411;183.368;5.43
67222;46.14369;1900.32;2.43
73215;385.9099;2096.54;18.41
48111;1.01453;187.267;0.54
02003;14.22952;464.09;3.07
77255;100.03539;1088.09;9.19
44074;299.49688;2012.07;14.89
25454;69.37725;992.611;6.99
51172;630.89213;3026.49;20.85
55481;2.02104;144.215;1.4
51612;99.71008;1691.88;5.89
76464;21.77901;949.401;2.29
33015;5.76446;948.33;0.61
01258;22.92053;501.312;4.57
48001;2.17266;178.688;1.22
43080;65.44113;1389.75;4.71
01457;176.20156;1592.43;11.06
62173;284.82629;2301.85;12.37
56101;186.06434;3761.85;4.95
49080;551.34632;3993.46;13.81
51329;19.60158;559.509;3.5
22158;22.4061;1604.65;1.4
31373;5.08772;95.21;5.34
88090;412.62557;2549.35;16.19
70467;329.22451;1710.28;19.25
46225;50.98561;1671.75;3.05
74233;154.56207;1105.17;13.99
49194;99.54985;2452.06;4.06
56122;26.16459;1006.3;2.6
56147;51.23552;2494.17;2.05
54157;284.19329;2297.91;12.37
91665;449.68563;3358.65;13.39
10271;28.8994;302.585;9.55
52045;10.00452;852.172;1.17
49054;156.97188;1430.76;10.97
53146;20.61317;817.532;2.52
56042;34.56267;1033.87;3.34
38348;201.89252;2124.52;9.5
60665;267.23675;1362.22;19.62
46102;546.45161;6602.5;8.28
01202;615.53;3685.57;16.7
51333;19.31146;355.232;5.44
65047;458.30436;4201.55;10.91
57096;56.94543;1048.52;5.43
64545;501.2616;6606.81;7.59
53154;16.59671;467.556;3.55
52512;48.18157;279.89;17.21
73003;157.35676;2363.99;6.66
24330;10.04638;599.845;1.67
63050;127.07382;1989.99;6.39
21481;131.82608;1073.11;12.28
91649;197.26533;1238.37;15.93
76341;1788.88187;4058.88;44.07
67474;44.47824;1432.02;3.11
26129;13.56859;456.976;2.97
83101;59.2589;2858.01;2.07
29085;24.97531;1434.99;1.74
60584;494.73425;2119.44;23.34
62447;202.29561;1462.3;13.83
21239;20.62898;353.779;5.83
23073;4.12918;366.16;1.13
63307;657.25722;4042.68;16.26
77430;122.18097;2284.61;5.35
49235;2.02436;235.401;0.86
50412;138.74107;3102.45;4.47
49086;136.33298;1732.34;7.87
56034;129.20404;8847.84;1.46
79220;4.99593;286.577;1.74
42103;493.1;2178.28;22.64
95241;66.30148;805.284;8.23
01267;41.23953;463.176;8.9
54366;82.21055;921.737;8.92
01183;3.98032;641.898;0.62
01289;496.59432;3078.75;16.13
59094;657.89574;3342.33;19.68
50032;16.51401;444.982;3.71
01196;45.87057;556.983;8.24
51250;861.77919;2708.01;31.82
31342;3.87435;172.94;2.24
60368;229.82112;1251.97;18.36
84122;209.78889;2847.85;7.37
68309;125.30129;2090.25;5.99
50341;327.5391;1115.98;29.35
56029;11.34077;517.476;2.19
54051;5.82894;582.617;1.0
94065;469.63308;2670.58;17.59
12301;12.01588;1217.12;0.99
31375;18.01197;1769.91;1.02
73067;80.17013;712.052;11.26
97112;237.99046;3696.31;6.44
54057;2.05797;31.4493;6.54
50433;55.46342;1054.09;5.26
01296;5.00406;196.22;2.55
78356;1044.40782;3856.6;27.08
78486;159.92221;3148.61;5.08
87103;70.92563;928.075;7.64
59165;591.18308;2939.64;20.11
50215;77.30786;2421.57;3.19
51507;378.7525;2449.11;15.46
31240;14.47816;250.964;5.77
01295;1.06953;247.102;0.43
67281;197.9692;2006.86;9.86
84056;168.53902;2423.29;6.95
51027;11.73308;139.354;8.42
05121;2.87249;162.702;1.77
69234;24.56802;773.088;3.18
49211;54.35146;534.722;10.16
57622;85.91986;822.855;10.44
77371;48.66092;1330.02;3.66
30039;26.41643;1115.64;2.37
37281;109.64989;1642.14;6.68
60439;538.67331;2566.5;20.99
60088;304.95673;2171.99;14.04
56079;5.90356;804.048;0.73
26083;69.7493;818.534;8.52
54314;275.28962;1803.65;15.26
91457;179.37068;1843.73;9.73
50025;1334.56682;6027.1;22.14
38343;20.52734;783.864;2.62
79238;16.78438;262.665;6.39
33021;8.84061;496.483;1.78
18139;31.76354;408.964;7.77
38484;28.12237;823.179;3.42
95574;398.23245;3021.64;13.18
52421;20.51174;162.115;12.65
55535;2.1519;37.5359;5.73
01323;11.79513;474.758;2.48
59602;54.58483;548.59;9.95
76319;1721.11754;4390.48;39.2
77464;998.00938;4854.08;20.56
86113;115.62621;1389.12;8.32
80620;968.77211;4115.62;23.54
71230;504.02145;3954.38;12.75
63291;169.10854;1524.96;11.09
97109;599.62494;4218.57;14.21
59630;131.62741;1140.43;11.54
01130;49.21255;1005.19;4.9
53137;46.87809;1127.94;4.16
31509;2.92771;190.447;1.54
32237;3.90183;218.929;1.78
69009;633.16186;3315.92;19.09
82031;30.93924;512.069;6.04
62895;1130.72421;3898.72;29.0
95388;467.39769;2323.67;20.11
01288;56.06567;1390.09;4.03
50087;23.62137;980.528;2.41
97205;413.06404;2190.3;18.86
71269;157.14631;1031.38;15.24
50139;211.82391;1991.81;10.63
22060;13.74928;375.474;3.66
03149;7.56786;236.361;3.2
55533;104.54801;1085.3;9.63
68069;25.75369;609.054;4.23
85156;98.39191;1234.03;7.97
32162;6.66812;686.074;0.97
76276;294.72792;2199.83;13.4
57597;123.15372;1230.4;10.01
03064;3.11109;154.962;2.01
56169;177.10637;3773.08;4.69
39501;28.52214;488.171;5.84
97217;722.49564;4759.58;15.18
21150;9.44162;250.083;3.78
45182;29.47316;727.766;4.05
77099;66.22922;1737.62;3.81
59592;135.08173;1717.75;7.86
78380;293.58615;2651.89;11.07
38560;94.5732;735.668;12.86
51617;3.95174;254.659;1.55
49338;27.76204;572.949;4.85
44151;180.72764;3110.53;5.81
01203;65.29199;579.731;11.26
53168;44.20415;575.092;7.69
31270;0.97874;475.546;0.21
84081;539.14776;4225.11;12.76
02666;47.47866;520.106;9.13
57537;380.40887;2932.92;12.97
71282;16.70665;711.356;2.35
22369;6.86555;415.406;1.65
74026;321.31767;2319.78;13.85
71176;439.79044;4660.83;9.44
22157;20.62089;363.028;5.68
62443;629.24544;2706.12;23.25
76534;43.89754;485.134;9.05
01095;27.17786;483.756;5.62
19019;34.22702;1094.8;3.13
71090;103.70584;1785.69;5.81
22344;15.385;431.859;3.56
95078;36.43411;829.318;4.39
32436;0.97393;287.981;0.34
01329;4.87805;139.739;3.49
18237;9.92051;271.94;3.65
56146;38.48705;784.358;4.91
72001;7.75947;681.255;1.14
59025;20.55301;744.386;2.76
73181;467.70093;2284.09;20.48
38319;79.36149;537.629;14.76
52480;7.26211;169.875;4.27
45308;152.07493;1382.69;11.0
33534;1.98368;408.536;0.49
88513;157.87527;1069.27;14.76
71543;429.9655;3547.17;12.12
56104;14.04281;408.095;3.44
97126;119.03329;2261.81;5.26
60150;36.47425;542.409;6.72
39199;61.76799;634.79;9.73
76329;217.16568;1369.33;15.86
62624;957.4092;2637.11;36.31
57616;160.47959;1772.36;9.05
56215;33.61027;569.493;5.9
84099;129.20369;2371.81;5.45
86214;321.90142;3950.23;8.15
01362;4.81909;316.917;1.52
73064;325.14894;2878.64;11.3
07322;31.36847;994.319;3.15
83097;61.85622;2485.79;2.49
26244;5.25641;95.8213;5.49
62846;413.65799;2049.33;20.19
51225;2.81261;159.516;1.76
55340;30.05088;188.015;15.98
01216;18.97812;527.156;3.6
02659;1.00916;242.388;0.42
77291;76.56302;389.24;19.67
06158;34.52128;546.562;6.32
62139;268.71139;2228.2;12.06
01265;517.29067;1727.36;29.95
34161;36.1739;1861.81;1.94
13113;204.68269;4029.97;5.08
59462;179.75723;2260.65;7.95
49021;419.08663;3105.39;13.5
53230;1.96896;173.16014;1.14
87125;93.39979;2084.6;4.48
27463;0.99201;330.043;0.3
22236;7.86338;434.277;1.81
54215;587.0092;3297.0;17.8
32102;8.31527;132.93;6.26
01382;5.54454;137.324;4.04
51074;9.70278;723.507;1.34
18175;6.93824;433.759;1.6
32156;2.00935;105.949;1.9
40283;98.13784;1589.85;6.17
64061;211.17949;1664.45;12.69
56166;77.24092;2905.19;2.66
