GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE;PCT
01450;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;62.93977;?
01232;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;63.36084;?
31082;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;9.77458;1.94
77143;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;412.98778;20.88
51513;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;14.72598;5.72
69020;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;27.4981;9.65
48198;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;11.37181;1.69
69121;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;156.15861;11.02
78117;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;353.87168;12.96
47179;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;90.46839;7.40
77533;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;14.87798;1.32
57474;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;277.13612;9.38
01358;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;3.04498;?
87111;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;41.40242;3.57
68156;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;101.43964;6.48
67309;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;144.91701;5.89
56088;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;19.11836;3.34
55178;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;4.92228;5.29
06024;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;1.09524;?
62907;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;1266.16982;34.06
01074;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;170.61112;?
64405;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;213.76337;10.37
56061;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;84.57624;3.78
85177;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;81.58948;11.03
01134;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;40.6213;?
01396;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;74.55317;?
56258;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;48.96533;1.75
74218;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;700.78099;16.35
57712;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;24.83041;3.87
23249;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;1.98233;0.86
53243;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;3.9194;0.50
52297;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;6.96729;5.01
81147;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;16.50448;3.00
56023;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;84.16277;2.67
33344;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;18.1371;5.62
51613;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;18.64864;3.88
31205;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;69.43282;4.46
60398;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;34.55131;3.37
64256;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;120.73361;3.15
02065;COM;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221;_T;2021;4.03477;?
