AAV2020;LIBAAV2020;TAAV2017;TDAAV2017;NB_COM
1;Paris;5;50;1926
5;Toulouse;4;42;527
2;Lyon;4;42;397
35;Amiens;3;32;368
20;Nancy;3;34;353
28;Dijon;3;33;333
15;Rouen;3;34;316
45;Besançon;3;31;308
24;Caen;3;33;294
36;Reims;3;32;294
6;Bordeaux;4;42;275
10;Strasbourg (partie française);4;41;268
33;Metz;3;32;245
44;Pau;3;31;227
54;Troyes;3;31;209
22;Clermont-Ferrand;3;33;208
14;Grenoble;4;41;204
4;Lille (partie française);4;42;201
13;Rennes;4;41;183
69;Arras;2;25;163
19;Tours;3;34;162
76;Beauvais;2;24;162
12;Montpellier;4;41;161
138;Vesoul;2;21;158
GEN;Genève - Annemasse (partie française);4;41;158
85;Tarbes;2;24;153
34;Le Mans;3;32;142
132;Lons-le-Saunier;2;21;138
61;Montbéliard;2;25;137
25;Orléans;3;33;136
29;Mulhouse;3;33;132
90;Charleville-Mézières;2;24;132
41;Limoges;3;32;127
94;Saint-Quentin;2;23;120
30;Perpignan;3;33;118
95;Épinal;2;23;118
65;Chartres;2;25;117
8;Nantes;4;41;116
39;Le Havre;3;32;116
3;Marseille - Aix-en-Provence;4;42;115
50;Chambéry;3;31;115
91;Carcassonne;2;23;115
LUX;Luxembourg (partie française);4;41;115
145;Auch;2;21;112
160;Chaumont;2;21;112
64;Bourges;2;25;111
70;Chalon-sur-Saône;2;25;108
83;Évreux;2;24;108
23;Saint-Étienne;3;33;105
84;Mâcon;2;24;105
136;Laon;2;21;105
102;Auxerre;2;23;104
193;Verdun;1;14;103
38;Valenciennes (partie française);3;32;102
78;Compiègne;2;24;101
106;Mont-de-Marsan;2;23;101
17;Nice;3;34;100
46;Poitiers;3;31;97
112;Châlons-en-Champagne;2;22;96
58;Colmar;2;25;95
BAL;Bâle - Saint-Louis (partie française);3;34;94
97;Nevers;2;23;93
104;Bastia;2;23;93
37;Nîmes;3;32;92
62;Angoulême;2;25;92
128;Soissons;2;21;92
63;Niort;2;25;91
82;Albi;2;24;91
86;Belfort;2;24;91
116;Alençon;2;22;89
79;Roanne;2;24;88
134;Dole;2;21;87
170;Sarrebourg;2;21;87
177;Bar-le-Duc;2;21;86
123;Aurillac;2;22;85
195;Saint-Gaudens;1;14;85
26;Angers;3;33;81
93;Agen;2;23;81
68;Boulogne-sur-Mer;2;25;80
80;Bourg-en-Bresse;2;24;80
87;Brive-la-Gaillarde;2;24;80
43;Annecy;3;31;79
96;Saint-Omer;2;23;79
98;Ajaccio;2;23;79
74;Blois;2;24;78
71;Cherbourg-en-Cotentin;2;25;77
153;Cahors;2;21;77
260;Langres;1;13;77
279;Avallon;1;13;74
119;Gap;2;22;73
129;Bergerac;2;21;73
164;Abbeville;2;21;73
218;Vitry-le-François;1;14;73
51;La Rochelle;3;31;72
146;Saint-Dizier;2;21;72
293;Saint-Pol-sur-Ternoise;1;13;72
297;Vittel - Contrexéville;1;13;72
49;Valence;3;31;71
72;Narbonne;2;25;71
100;Châteauroux;2;23;71
179;Guéret;1;14;71
307;Neufchâteau;1;13;71
284;Saint-Girons;1;13;70
32;Brest;3;32;68
